entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,arn,settlement_utr,order_id,order_receipt,method,upi_flow,card_network,card_issuer,card_type,dispute_id,additional_utr
pay_QYVTCUhwDPXBLi,payment,0,0,12772.80,INR,1.18,0.18,0,1,24/05/2025 02:14:14,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":12500,""t1_gst"":5.6,""t1_transaction_charges"":31.2,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYVRyjRv8FAwGb,C00021507,upi,,,,,,
pay_QYYL2QBU7Qlj65,payment,0,0,5014.70,INR,1.18,0.18,0,1,24/05/2025 05:02:39,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYYKbIutBKxRba,C00021508,upi,,,,,,
pay_QYajKEJXtl2cDI,payment,0,0,1238.90,INR,1.18,0.18,0,1,24/05/2025 07:23:00,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYaieCDxkpwL5u,C00021511,upi,,,,,,
pay_QYed5czLDgz1Iv,payment,0,0,5250.70,INR,1.18,0.18,0,1,24/05/2025 11:12:00,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYeZRMrMrhmvvp,C00021513,upi,,,,,,
pay_QYezf5XyZvX9Ir,payment,0,0,10029.50,INR,1.18,0.18,0,1,24/05/2025 11:34:00,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":10000,""t1_gst"":4.5,""t1_transaction_charges"":25,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYey3cxl4DjUNt,C00021515,upi,,,,,,
pay_QYgxe7ZdurI9My,payment,0,0,5250.70,INR,1.18,0.18,0,1,24/05/2025 13:29:02,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYgxIjYupapsZb,C00021518,upi,,,,,,
pay_QYhxn54tOyp0Pv,payment,0,0,1238.90,INR,1.18,0.18,0,1,24/05/2025 14:27:49,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYhxQBsh76iDUC,C00021521,upi,,,,,,
pay_QYjTxg9G7JDiho,payment,0,0,1002.90,INR,1.18,0.18,0,1,24/05/2025 15:56:48,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYjShqpESNpPuT,C00021522,upi,,,,,,
pay_QYjUoHxMsOulMb,payment,0,0,1238.90,INR,1.18,0.18,0,1,24/05/2025 15:57:27,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYjUKEeB3YPBMZ,C00021523,upi,,,,,,
pay_QYjtmIhc7XyNZy,payment,0,15044.30,15044.30,INR,8.26,1.26,0,1,24/05/2025 16:22:13,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":15000,""t1_gst"":6.8,""t1_transaction_charges"":37.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYjtS22KU1lSGx,C00021525,netbanking,,,,,,
pay_QYlP7fZNxhnRVk,payment,0,0,4448.39,INR,1.18,0.18,0,1,24/05/2025 17:49:51,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":4200,""t1_gst"":1.9,""t1_transaction_charges"":10.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYlOlqrnvOxdws,C00021526,upi,,,,,,
pay_QYpQNvmXcug3hS,payment,0,0,1238.90,INR,1.18,0.18,0,1,24/05/2025 21:45:38,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYpOZumUtDn0xq,C00021528,upi,,,,,,
pay_QYr8U2DIhUu8yJ,payment,0,1238.90,1238.90,INR,8.26,1.26,0,1,24/05/2025 23:27:07,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYr8PtWz2WCMW1,C00021531,netbanking,,,,,,
pay_QYuFm4Sx5U5hOU,payment,0,0,2005.90,INR,1.18,0.18,0,1,25/05/2025 02:29:23,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":2000,""t1_gst"":0.9,""t1_transaction_charges"":5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYuE7V0zPj2eej,C00021536,upi,,,,,,
pay_QYvYSlLghArel6,payment,0,0,2743.30,INR,1.18,0.18,0,1,25/05/2025 03:45:22,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":2500,""t1_gst"":1.1,""t1_transaction_charges"":6.2,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QYvR1v9zPslkma,C00021538,upi,,,,,,
pay_QZ03hAfKQ6IyZr,payment,0,0,5250.70,INR,1.18,0.18,0,1,25/05/2025 08:09:34,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ03GZhrNjPwYH,C00021540,upi,,,,,,
pay_QZ1J2lSKh3GK6b,payment,0,0,1238.90,INR,1.18,0.18,0,1,25/05/2025 09:22:49,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ1IhD9GzRPh5p,C00021545,upi,,,,,,
pay_QZ3AyZKrgjCAx6,payment,0,0,1238.90,INR,1.18,0.18,0,1,25/05/2025 11:12:39,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ3AlgT9SRMeWW,C00021547,upi,,,,,,
