entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,arn,settlement_utr,order_id,order_receipt,method,upi_flow,card_network,card_issuer,card_type,dispute_id,additional_utr
pay_QZEDzTRNd5YILD,payment,0,1535.40,1535.40,INR,5.90,0.90,0,0,26/05/2025 23:01:44,,,Recurring payment for 57c762d6-fcb9-4103-adb0-7d3e2148aadd,"{""notes_key_1"":""Pre-debit notification"",""notes_key_2"":""Mandate ID: token_PSE2X62kG7AZPv"",""note_key1"":""Debit today"",""note_key2"":""Mandate ID: token_PSE2X62kG7AZPv""}",,,,order_QZEDyHHNP5jLlh,530d5338-bc95-4609-a953-bb9cdcb7bb45,upi,,,,,,
pay_QZEE1UnmI43Nxc,payment,0,535.40,535.40,INR,3.54,0.54,0,0,26/05/2025 23:02:14,,,Recurring payment for ab8da1eb-f69d-4096-b16a-dddfba55dab5,"{""notes_key_1"":""Pre-debit notification"",""notes_key_2"":""Mandate ID: token_PnGzehSfFfjzgK"",""note_key1"":""Debit today"",""note_key2"":""Mandate ID: token_PnGzehSfFfjzgK""}",,,,order_QZEE0MZzX08dUi,e86a4c0c-5915-420f-ab57-044e81aeae11,upi,,,,,,
trf_QZEDyJnjBl4DJs,transfer,1535.40,0,1535.40,INR,0.89,0.14,0,0,26/05/2025 23:06:45,,,,,,,,,,,,,,,,
trf_QZEE0Owoz57yex,transfer,535.40,0,535.40,INR,0.89,0.14,0,0,26/05/2025 23:07:45,,,,,,,,,,,,,,,,
pay_QZclZQHfskbm49,payment,0,10035.40,10035.40,INR,5.90,0.90,0,0,27/05/2025 23:02:18,,,Recurring payment for 68fd3178-f7dc-4154-883b-bb635ae7741a,"{""notes_key_1"":""Pre-debit notification"",""notes_key_2"":""Mandate ID: token_PcAJ9y0eRjiFA9"",""note_key1"":""Debit today"",""note_key2"":""Mandate ID: token_PcAJ9y0eRjiFA9""}",,,,order_QZclYGSwXHMvZ0,f9578f78-b66d-4696-a458-b2f398e4d221,upi,,,,,,
trf_QZclYi7RSs6jod,transfer,10035.40,0,10035.40,INR,0.89,0.14,0,0,27/05/2025 23:07:30,,,,,,,,,,,,,,,,
pay_QadZ0cGcxXfCFk,payment,0,1238.95,1238.95,INR,2.36,0.36,0,0,29/05/2025 11:27:35,,,NPS Contribution,"{""craType"":""KFINTECH""}",,,,order_QadYp2hb9J0EfN,a98304e3-98bc-41d8-8133-8817eade0f32,upi,,,,,,
trf_QadYp6ZO99EEaC,transfer,1238.95,0,1238.95,INR,0.89,0.14,0,0,29/05/2025 11:33:16,,,,,,,,,,,,,,,,
pay_QahFxccavzeDei,payment,0,737.48,737.48,INR,2.36,0.36,0,0,29/05/2025 15:04:14,,,NPS Contribution,"{""craType"":""KFINTECH""}",,,,order_QahEXoO9xK9wx3,a176d3c7-44bb-41e4-8906-9f4289b7d4ab,upi,,,,,,
trf_QahEXrOL3nVy8J,transfer,737.48,0,737.48,INR,0.89,0.14,0,0,29/05/2025 15:10:14,,,,,,,,,,,,,,,,
